address,verdict,realized_pnl,unrealized_pnl,avg_hold,rug_pct,multi_x_wins,reason,date_vetted
2aU9JFxnESiF8RoyP9AdhqULRkJaiPQfBx8d9WWQq2Kz,REJECT,+$934.63K,-$702.37K,11d,100%,"49 (24>500%, 25>100%)","RE-PRUNED 2026-06-26: the 2026-06-25 restore was WRONG. Within hours of going active it co-bought rug clusters costing COPY ~$800 (with Euu7J5J/HkFGQsW8), contributing to the dd halt; attribution-based proven-loser logic demoted it 06-26 07:00. The post-6/7 net-positive was a small-sample fluke — reverted to the fast-dump rug pattern.",2026-06-26
5KJEmUWT474k49ZVZrteFYicZbT22sTvvNRRNk75hBpn,KEEP,+$6.19M,-$1.42M,11d,100%,"300 (120>500%, 180>100%)","Exceptional realized +$6.19M dwarfs -$1.42M unrealized (not a bagholder); 79% win rate, 300 multi-x wins. 11d hold slightly over ~7d target but strong exit skill justifies KEEP",2026-06-22
8ZgAmj7fSo2eTcwidgg4uUYLZRXi8vyeFuywmA8FBQAv,REJECT,-$47.94K,-$2.68K,10d,0%,"0 (0>500%, 0>100%)","Negative realized PnL, 28% win rate, zero multi-x wins; bluechip swing trader, not a fresh-mint exit specialist",2026-06-22
HHLtihp7xDmJpfvPNy2E39qZyBBFquQahkaMcLkCoAwy,REJECT,+$272.64K,-$802.34K,1mo,100%,"1 (0>500%, 1>100%)","Bag-holder: unrealized -$802K far exceeds realized +$272K; 1-month avg hold and only 1 multi-x win = wrong style (slow swing, holding losers)",2026-06-22
EgQX9R3Qph1dPHE1Ysou1auSYqRGomCNmLDC28Yg77aq,KEEP,+$2.77M,-$229.11,1m,98.63%,"884 (9>500%, 875>100%)","Ideal profile: +$2.77M realized, ~$0 unrealized (no bags), ~1min holds w/ 99.97% instant-sell on fresh rug-mints, 884 multi-x wins, 74% win rate = textbook fast fresh-mint exit specialist",2026-06-22
2RCjTNMYfivvCHpp9CtxQhBB1kzQG8fptq4nYa3EB3tP,KEEP,+$4.56M,-$877.05K,15d,100%,"261 (149>500%, 112>100%)","RESTORED 2026-06-25: strong net-positive (+$4.56M vs -$877K), 261 multi-x, 15d hold. Cluster ENTRY signal; corrected swing criterion.",2026-06-25
AEJZ1tRF5LjEzF6QxJQhoPodhvxfYHcZKxdpnDkSR2Wh,REJECT,+$7.76M,-$7.94M,2mo,99.94%,"1030 (330>500%, 700>100%)","Bag-holder: unrealized -$7.94M exceeds realized +$7.76M (net Total PnL negative); 2-month avg hold = holds losers indefinitely, wrong style despite strong wins",2026-06-22
88Md1AAEfdr2iwYHA9pb9okS2fYfiCL8Wu9buaTPbcQM,REJECT,+$7.4M,-$5.22M,2mo,99.95%,"295 (37>500%, 258>100%)","Realized exceeds unrealized but 2-month avg hold + large -$5.22M unrealized bag = slow holder, opposite of exit-before-rug style; wrong style despite positive realized",2026-06-22
BwGNeSNP8SVjkQfz3Z3wpJ65c9mxZomjnbL1r8euN1Vd,REJECT,+$2.11M,-$3.85M,1mo,99.86%,"210 (97>500%, 113>100%)","Bag-holder: unrealized -$3.85M exceeds realized +$2.11M (net Total PnL -$1.74M); 1-month avg hold = holds losers, wrong style",2026-06-22
6mc4M2jySnFvkbfzpmFJKv8ZwZmZRgKaVqdwbf6ywomi,REJECT,+$453.92K,-$5.59M,3mo,99.91%,"252 (19>500%, 233>100%)","Severe bag-holder: unrealized -$5.59M dwarfs realized +$454K (Total PnL -$5.14M); 3-month avg hold = holds rugs to zero, exact opposite of fast-exit strategy",2026-06-22
98SMxxEX6CK3jzaQE4ohKq8W7YBei1iCZZvK2DymLdjv,REJECT,+$168.43K,-$2.58M,3mo,99.82%,"54 (8>500%, 46>100%)","Bag-holder: unrealized -$2.58M dwarfs realized +$168K (Total PnL -$2.42M); 3-month avg hold, holds losers; wrong style",2026-06-22
8yQp2pV6YTdMHg1iFwTWzs6peFMBaNGXoM2kdGTvEvo2,KEEP,+$20.53M,-$7.02M,3mo,99.87%,"446 (259>500%, 187>100%)","RESTORED 2026-06-25: strong net-positive (+$20.53M realized vs -$7.02M unrealized), 446 multi-x. Long 3mo hold is irrelevant for a cluster ENTRY signal (COPY borrows the co-buy, exits on its own ladder). Corrected swing criterion.",2026-06-25
91DyLhNfDMGtyaP4sz1oFr48SCbAaubeGLcuVqh7R8U5,REJECT,-$17.37,-$1.62M,22d,96.25%,"0 (0>500%, 0>100%)","Near-zero/negative realized, zero multi-x wins, 100% of 1.6K tokens sitting at small unrealized loss (never sells) = accumulator/farmer bot, no exit skill",2026-06-22
9YsTe2rW9HpmNDAMEJwWVcVws6BEqqKL7GEtFQJ56KSP,REJECT,-$2.85,-$347.5K,10d,96.23%,"0 (0>500%, 0>100%)","Near-zero realized, zero multi-x wins, buys fresh tokens and never sells (345 unsold bags) = accumulator/sniper-farmer with no realized exit skill",2026-06-22
